Date,Event,EventDetail,Asset,IsClusterStart,DepressionScore,DepressionFlag,Depress_NBER_Recession,Depress_EquityCrash,Depress_CreditFreeze,Depress_LaborShock,Depress_HousingBust,Depress_Interbank,Depress_SPX_Drawdown_12m,Depress_SPX_Drawdown_5p,Depress_Credit_Max,Depress_Credit_Z,Depress_ICSA_4w_Max,Depress_ICSA_Z,Depress_HOUST_Z_Min,Depress_MORT_Z_Max,Depress_Interbank_Spread_Max,Depress_Interbank_Z,Fwd_30d,Fwd_90d,Fwd_180d
1964-03-19,BOND_FREEZE,,^SPX,1,0,0,0,0,0,0,0,0,-0.83,-25.36,,,,,-0.45,,,,1.0970934220767539,4.476664925279079,5.926855948762797
1964-03-20,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.35,-25.36,,,,,-0.45,,,,1.9640181040548126,5.068423837817552,5.752662215993075
1964-03-23,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.37,-25.35,,,,,-0.45,,,,2.4705396436116795,5.270487795046993,5.726588908640876
1964-03-24,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.19,-25.34,,,,,-0.45,,,,2.881071984629273,5.571772228248939,6.180990849084109
1964-03-25,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.43,-25.34,,,,,-0.45,,,,2.747528585354017,5.0898917095494065,5.659652318710843
1964-03-26,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.69,-25.33,,,,,-0.45,,,,2.285638973092584,3.4979120566588744,5.08902469384153
1964-03-30,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-0.63,-25.33,,,,,-0.45,,,,2.2239097167098008,3.72756756506628,5.572408006217658
1965-08-11,BOND_FREEZE,,^SPX,1,0,0,0,0,0,0,0,0,-4.44,-24.58,,,,,-2.29,,,,4.33066698697192,7.151984045680349,5.53814515798286
1965-08-12,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-4.71,-24.58,,,,,-2.29,,,,4.213937839068879,6.726100223114311,4.017135136648572
1965-08-13,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-5.92,-24.58,,,,,-2.29,,,,4.471597364205433,5.474242461411414,3.0194800598639757
1965-08-16,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-6.55,-24.58,,,,,-2.29,,,,4.098074647216263,5.3643327793013045,1.2202112640493228
1965-08-17,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-7.9,-24.58,,,,,-2.29,,,,3.4237082906641505,5.4802350561734325,0.9191123781578081
1965-08-18,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-8.47,-24.58,,,,,-2.29,,,,3.4141870256788462,5.989193254874844,-0.7702013856748927
1965-08-19,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-9.85,-24.58,,,,,-2.29,,,,3.5833628039461876,6.498443749456628,0.3341409292178732
1965-08-20,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-9.9,-24.58,,,,,-2.29,,,,3.91048482429071,6.332907727716607,0.6229102553000044
1965-08-23,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-9.76,-24.58,,,,,-2.29,,,,4.701940630334671,6.585033200559301,-0.38123175943573506
1965-08-24,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-9.98,-24.58,,,,,-2.29,,,,4.417024416438419,7.081074218057442,-1.4300517551171101
1965-08-25,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-11.98,-24.58,,,,,-2.29,,,,4.2161084725742555,7.199631581352673,-2.7646514963492104
1965-08-26,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-14.47,-24.58,,,,,-2.29,,,,4.2575156190709995,6.885471703036015,-4.028003397768477
1965-08-27,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-14.53,-24.58,,,,,-2.29,,,,4.782116908576227,7.029822359341345,-2.385314534924517
1965-08-30,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-14.54,-24.58,,,,,-2.29,,,,4.7356923480960065,7.109281782736082,-2.51118273637979
1965-09-01,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-14.5,-24.58,,,,,-2.56,,,,4.829642277051793,7.101069830710935,-1.1127695779265165
1965-09-02,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-14.97,-24.58,,,,,-2.56,,,,4.597830814762744,6.674270818345468,-1.0039987079209305
1965-09-15,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-16.74,-24.56,,,,,-2.56,,,,3.0049179426713026,4.669348147813559,-4.579980594133155
1965-09-24,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.21,-24.52,,,,,-2.56,,,,2.1217548692904655,3.5992064141157876,-3.654736068451317
1965-09-27,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.78,-24.51,,,,,-2.56,,,,1.3017101878800441,3.2432374655530527,-4.611142013034019
1965-09-28,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.58,-24.51,,,,,-2.56,,,,2.3443577788649996,3.4501854871756064,-4.33484259174657
1965-09-29,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.21,-24.5,,,,,-2.56,,,,2.899356484871178,4.487892764033463,-3.93245214190471
1965-09-30,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.15,-24.49,,,,,-2.56,,,,2.723437752968582,4.301915057767052,-3.6127167997725773
1965-10-01,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.1,-24.49,,,,,-3.88,,,,3.0033335955672458,4.349272487597567,-3.3926618464848737
1965-10-04,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-17.26,-24.48,,,,,-3.88,,,,2.375665348744123,3.8299254863611876,-3.9742470673668406
1965-10-27,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.87,-24.39,,,,,-3.88,,,,-0.735055982567605,-3.8374261915269106,-5.966926975455221
1965-10-28,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.62,-24.38,,,,,-3.88,,,,-0.35788074431318034,-3.524563531361396,-6.376745810431429
1965-10-29,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.8,-24.37,,,,,-3.88,,,,-0.43280841138699955,-3.8628000060097376,-7.476732492553456
1965-11-01,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.63,-24.37,,,,,-3.91,,,,-0.11926770719703433,-4.749002193854115,-7.275297050461127
1965-11-03,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.7,-24.36,,,,,-3.91,,,,-0.24915581586173563,-5.373198153671598,-7.47480671538812
1965-11-04,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.83,-24.36,,,,,-3.91,,,,-0.8760518782330137,-4.9751227770600295,-9.333763074703787
1965-11-05,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.75,-24.35,,,,,-3.91,,,,-0.3897375767533834,-4.546935642255496,-9.386170337275063
1965-11-08,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.63,-24.34,,,,,-3.91,,,,0.06505210496583978,-4.011714673063127,-8.814924197008942
1965-11-09,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.37,-24.34,,,,,-3.91,,,,0.2828262105595036,-2.9696544630381023,-8.876322892440974
1965-11-10,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.29,-24.34,,,,,-3.91,,,,-0.33758595427082416,-2.5808588689154894,-8.962216261385727
1965-11-12,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.91,-24.34,,,,,-3.91,,,,-1.1021115492459883,-3.695305981164835,-11.064295143715366
1965-11-15,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.98,-24.33,,,,,-3.91,,,,-0.885242058877381,-3.6057394331482415,-11.119503106736
1965-11-16,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.79,-24.33,,,,,-3.91,,,,-0.22725538961675856,-3.1057273377847627,-10.020562459978912
1965-11-17,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.95,-24.33,,,,,-3.91,,,,-0.18358333881919214,-3.218137987736448,-9.362849148824031
1965-11-18,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.62,-24.33,,,,,-3.91,,,,-0.04337553133578105,-3.1988771834612066,-8.913469000104241
1965-11-19,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-20.64,-24.33,,,,,-3.91,,,,0.021687199614295386,-3.7510832226847777,-9.204247680391884
1965-12-02,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-19.75,-24.31,,,,,-3.9,,,,2.5106906463254064,0.2631267034081002,-12.114894784868387
1965-12-03,BOND_FREEZE,,^SPX,0,0,0,0,0,0,0,0,0,-19.8,-24.31,,,,,-3.9,,,,2.7391257718315254,0.29583026448094996,-12.76431940941613
