Year,Event,count,depression_rate,nber_rate,crash90,win180
1964,BOND_FREEZE,7,0.0,0.0,0.0,100.0
1965,BOND_FREEZE,56,0.0,0.0,39.285714285714285,12.5
1966,BOND_FREEZE,37,0.0,0.0,72.97297297297297,35.13513513513514
1967,BOND_FREEZE,15,0.0,0.0,93.33333333333333,100.0
1968,BOND_FREEZE,19,0.0,0.0,73.68421052631578,10.526315789473683
1969,BOND_FREEZE,63,0.0,100.0,98.4126984126984,0.0
1970,BOND_FREEZE,1,0.0,100.0,0.0,100.0
1970,FLASH_MOVE,1,0.0,100.0,0.0,100.0
1970,LABOUR_SHOCK,37,0.0,100.0,67.56756756756756,45.94594594594595
1971,EM_CURRENCY_STRESS,249,0.0,0.0,40.562248995983936,75.50200803212851
1971,LABOUR_SHOCK,7,0.0,0.0,0.0,100.0
1972,BOND_FREEZE,20,0.0,0.0,0.0,0.0
1972,LABOUR_SHOCK,8,0.0,0.0,0.0,100.0
1973,BOND_FREEZE,50,0.0,100.0,78.0,0.0
1973,EM_CURRENCY_STRESS,13,0.0,100.0,100.0,0.0
1973,LABOUR_SHOCK,4,0.0,100.0,100.0,0.0
1974,BOND_FREEZE,30,0.0,100.0,93.33333333333333,40.0
1974,EM_CURRENCY_STRESS,3,0.0,100.0,100.0,0.0
1974,LABOUR_SHOCK,74,0.0,100.0,31.08108108108108,68.91891891891892
1975,BOND_FREEZE,6,0.0,0.0,0.0,100.0
1975,EM_CURRENCY_STRESS,23,0.0,0.0,0.0,100.0
1976,EM_CURRENCY_STRESS,3,0.0,0.0,0.0,66.66666666666666
1977,BOND_FREEZE,7,0.0,0.0,0.0,100.0
1977,LABOUR_SHOCK,11,0.0,0.0,63.63636363636363,0.0
1978,BOND_FREEZE,57,0.0,0.0,14.035087719298245,100.0
1979,BOND_FREEZE,21,0.0,90.47619047619048,0.0,100.0
1979,LABOUR_SHOCK,10,0.0,100.0,0.0,100.0
1980,BOND_FREEZE,25,0.0,100.0,52.0,96.0
1980,EM_CURRENCY_STRESS,22,0.0,100.0,0.0,81.81818181818183
1980,FLASH_MOVE,2,0.0,100.0,0.0,100.0
1980,HOUSING_BUST,63,0.0,100.0,0.0,100.0
1980,LABOUR_SHOCK,44,0.0,100.0,0.0,100.0
1981,BOND_FREEZE,11,27.27272727272727,100.0,100.0,0.0
1981,EM_CURRENCY_STRESS,134,60.447761194029844,100.0,82.83582089552239,0.0
